LL_Length,LL_Breadth,Secondary_Vein,Species
14.9,4.2,22,knema globularia (Lam) Warb.
6.4,2,14,knema globularia (Lam) Warb.
13.9,3.6,22,knema globularia (Lam) Warb.
10.1,2.6,17,knema globularia (Lam) Warb.
15.4,4,22,knema globularia (Lam) Warb.
8.8,1.9,15,knema globularia (Lam) Warb.
15.2,4,19,knema globularia (Lam) Warb.
7.8,2.2,15,knema globularia (Lam) Warb.
15,3.8,22,knema globularia (Lam) Warb.
11.5,2.6,13,knema globularia (Lam) Warb.
15.1,4.1,22,knema globularia (Lam) Warb.
9,2,16,knema globularia (Lam) Warb.
12.4,3.4,21,knema globularia (Lam) Warb.
9.5,2.9,15,knema globularia (Lam) Warb.
14.1,3.3,18,knema globularia (Lam) Warb.
